Date,Description,Amount
2026-02-28,SALARY ACME LTD,2450.00
2026-03-01,Transfer to Monzo Savings,-600.00
2026-03-01,Tesco Superstore,-88.31
2026-03-03,Amazon Marketplace,-19.99
2026-03-04,Trainline,-26.70
2026-03-05,Barclaycard Payment,-145.00
2026-03-07,Vanguard Investor,-250.00
2026-03-08,Netflix,-10.99
2026-03-09,Spotify,-11.99
2026-03-10,Deliveroo,-24.80
2026-03-12,Costa Coffee,-7.10
2026-03-15,Electric Bill,-78.40
2026-03-18,Water Bill,-31.22
2026-03-22,Tesco Superstore,-79.05
2026-03-25,Shell Service Station,-49.00
2026-03-26,Payroll Adjustment,125.00
